# form	lemma	pos	features
тёплыйым	тёплый	ADJ	number=plur|case=dat|adj_form=full|degree=pos
холодный	холодный	ADJ	gender=masc|number=sing|case=nom|adj_form=full|degree=pos
холодного	холодный	ADJ	gender=masc|number=sing|case=gen|adj_form=full|degree=pos
холодныйому	холодный	ADJ	gender=masc|number=sing|case=dat|adj_form=full|degree=pos
холодныйым	холодный	ADJ	gender=masc|number=sing|case=ins|adj_form=full|degree=pos
холодныйом	холодный	ADJ	gender=masc|number=sing|case=prep|adj_form=full|degree=pos
холодная	холодный	ADJ	gender=fem|number=sing|case=nom|adj_form=full|degree=pos
холоднаой	холодный	ADJ	gender=fem|number=sing|case=gen|adj_form=full|degree=pos
холодную	холодный	ADJ	gender=fem|number=sing|case=acc|adj_form=full|degree=pos
холодное	холодный	ADJ	gender=neut|number=sing|case=nom|adj_form=full|degree=pos
холодные	холодный	ADJ	number=plur|case=nom|adj_form=full|degree=pos
холодных	холодный	ADJ	number=plur|case=gen|adj_form=full|degree=pos
холодныйым	холодный	ADJ	number=plur|case=dat|adj_form=full|degree=pos
чистый	чистый	ADJ	gender=masc|number=sing|case=nom|adj_form=full|degree=pos
чистого	чистый	ADJ	gender=masc|number=sing|case=gen|adj_form=full|degree=pos
чистыйому	чистый	ADJ	gender=masc|number=sing|case=dat|adj_form=full|degree=pos
чистыйым	чистый	ADJ	gender=masc|number=sing|case=ins|adj_form=full|degree=pos
чистыйом	чистый	ADJ	gender=masc|number=sing|case=prep|adj_form=full|degree=pos
чистая	чистый	ADJ	gender=fem|number=sing|case=nom|adj_form=full|degree=pos
чистаой	чистый	ADJ	gender=fem|number=sing|case=gen|adj_form=full|degree=pos
чистую	чистый	ADJ	gender=fem|number=sing|case=acc|adj_form=full|degree=pos
чистое	чистый	ADJ	gender=neut|number=sing|case=nom|adj_form=full|degree=pos
чистые	чистый	ADJ	number=plur|case=nom|adj_form=full|degree=pos
чистых	чистый	ADJ	number=plur|case=gen|adj_form=full|degree=pos
чистыйым	чистый	ADJ	number=plur|case=dat|adj_form=full|degree=pos
грязный	грязный	ADJ	gender=masc|number=sing|case=nom|adj_form=full|degree=pos
грязного	грязный	ADJ	gender=masc|number=sing|case=gen|adj_form=full|degree=pos
грязныйому	грязный	ADJ	gender=masc|number=sing|case=dat|adj_form=full|degree=pos
грязныйым	грязный	ADJ	gender=masc|number=sing|case=ins|adj_form=full|degree=pos
грязныйом	грязный	ADJ	gender=masc|number=sing|case=prep|adj_form=full|degree=pos
грязная	грязный	ADJ	gender=fem|number=sing|case=nom|adj_form=full|degree=pos
грязнаой	грязный	ADJ	gender=fem|number=sing|case=gen|adj_form=full|degree=pos
грязную	грязный	ADJ	gender=fem|number=sing|case=acc|adj_form=full|degree=pos
грязное	грязный	ADJ	gender=neut|number=sing|case=nom|adj_form=full|degree=pos
грязные	грязный	ADJ	number=plur|case=nom|adj_form=full|degree=pos
грязных	грязный	ADJ	number=plur|case=gen|adj_form=full|degree=pos
грязныйым	грязный	ADJ	number=plur|case=dat|adj_form=full|degree=pos
правильный	правильный	ADJ	gender=masc|number=sing|case=nom|adj_form=full|degree=pos
правильного	правильный	ADJ	gender=masc|number=sing|case=gen|adj_form=full|degree=pos
правильныйому	правильный	ADJ	gender=masc|number=sing|case=dat|adj_form=full|degree=pos
правильныйым	правильный	ADJ	gender=masc|number=sing|case=ins|adj_form=full|degree=pos
правильныйом	правильный	ADJ	gender=masc|number=sing|case=prep|adj_form=full|degree=pos
правильная	правильный	ADJ	gender=fem|number=sing|case=nom|adj_form=full|degree=pos
правильнаой	правильный	ADJ	gender=fem|number=sing|case=gen|adj_form=full|degree=pos
правильную	правильный	ADJ	gender=fem|number=sing|case=acc|adj_form=full|degree=pos
правильное	правильный	ADJ	gender=neut|number=sing|case=nom|adj_form=full|degree=pos
правильные	правильный	ADJ	number=plur|case=nom|adj_form=full|degree=pos
правильных	правильный	ADJ	number=plur|case=gen|adj_form=full|degree=pos
правильныйым	правильный	ADJ	number=plur|case=dat|adj_form=full|degree=pos
главный	главный	ADJ	gender=masc|number=sing|case=nom|adj_form=full|degree=pos
главного	главный	ADJ	gender=masc|number=sing|case=gen|adj_form=full|degree=pos
главныйому	главный	ADJ	gender=masc|number=sing|case=dat|adj_form=full|degree=pos
главныйым	главный	ADJ	gender=masc|number=sing|case=ins|adj_form=full|degree=pos
главныйом	главный	ADJ	gender=masc|number=sing|case=prep|adj_form=full|degree=pos
главная	главный	ADJ	gender=fem|number=sing|case=nom|adj_form=full|degree=pos
главнаой	главный	ADJ	gender=fem|number=sing|case=gen|adj_form=full|degree=pos
главную	главный	ADJ	gender=fem|number=sing|case=acc|adj_form=full|degree=pos
главное	главный	ADJ	gender=neut|number=sing|case=nom|adj_form=full|degree=pos
главные	главный	ADJ	number=plur|case=nom|adj_form=full|degree=pos
главных	главный	ADJ	number=plur|case=gen|adj_form=full|degree=pos
главныйым	главный	ADJ	number=plur|case=dat|adj_form=full|degree=pos
другой	другой	ADJ	gender=masc|number=sing|case=nom|adj_form=full|degree=pos
другого	другой	ADJ	gender=masc|number=sing|case=gen|adj_form=full|degree=pos
другойому	другой	ADJ	gender=masc|number=sing|case=dat|adj_form=full|degree=pos
другойым	другой	ADJ	gender=masc|number=sing|case=ins|adj_form=full|degree=pos
другойом	другой	ADJ	gender=masc|number=sing|case=prep|adj_form=full|degree=pos
другая	другой	ADJ	gender=fem|number=sing|case=nom|adj_form=full|degree=pos
другаой	другой	ADJ	gender=fem|number=sing|case=gen|adj_form=full|degree=pos
другую	другой	ADJ	gender=fem|number=sing|case=acc|adj_form=full|degree=pos
другое	другой	ADJ	gender=neut|number=sing|case=nom|adj_form=full|degree=pos
другие	другой	ADJ	number=plur|case=nom|adj_form=full|degree=pos
других	другой	ADJ	number=plur|case=gen|adj_form=full|degree=pos
другойым	другой	ADJ	number=plur|case=dat|adj_form=full|degree=pos
такой	такой	ADJ	gender=masc|number=sing|case=nom|adj_form=full|degree=pos
такого	такой	ADJ	gender=masc|number=sing|case=gen|adj_form=full|degree=pos
такойому	такой	ADJ	gender=masc|number=sing|case=dat|adj_form=full|degree=pos
такойым	такой	ADJ	gender=masc|number=sing|case=ins|adj_form=full|degree=pos
такойом	такой	ADJ	gender=masc|number=sing|case=prep|adj_form=full|degree=pos
такая	такой	ADJ	gender=fem|number=sing|case=nom|adj_form=full|degree=pos
такаой	такой	ADJ	gender=fem|number=sing|case=gen|adj_form=full|degree=pos
такую	такой	ADJ	gender=fem|number=sing|case=acc|adj_form=full|degree=pos
такое	такой	ADJ	gender=neut|number=sing|case=nom|adj_form=full|degree=pos
такие	такой	ADJ	number=plur|case=nom|adj_form=full|degree=pos
таких	такой	ADJ	number=plur|case=gen|adj_form=full|degree=pos
такойым	такой	ADJ	number=plur|case=dat|adj_form=full|degree=pos
каждый	каждый	ADJ	gender=masc|number=sing|case=nom|adj_form=full|degree=pos
каждого	каждый	ADJ	gender=masc|number=sing|case=gen|adj_form=full|degree=pos
каждыйому	каждый	ADJ	gender=masc|number=sing|case=dat|adj_form=full|degree=pos
каждыйым	каждый	ADJ	gender=masc|number=sing|case=ins|adj_form=full|degree=pos
каждыйом	каждый	ADJ	gender=masc|number=sing|case=prep|adj_form=full|degree=pos
каждая	каждый	ADJ	gender=fem|number=sing|case=nom|adj_form=full|degree=pos
каждаой	каждый	ADJ	gender=fem|number=sing|case=gen|adj_form=full|degree=pos
каждую	каждый	ADJ	gender=fem|number=sing|case=acc|adj_form=full|degree=pos
каждое	каждый	ADJ	gender=neut|number=sing|case=nom|adj_form=full|degree=pos
каждые	каждый	ADJ	number=plur|case=nom|adj_form=full|degree=pos
каждых	каждый	ADJ	number=plur|case=gen|adj_form=full|degree=pos
каждыйым	каждый	ADJ	number=plur|case=dat|adj_form=full|degree=pos
весь	весь	ADJ	gender=masc|number=sing|case=nom|adj_form=full|degree=pos
всего	весь	ADJ	gender=masc|number=sing|case=gen|adj_form=full|degree=pos
весьому	весь	ADJ	gender=masc|number=sing|case=dat|adj_form=full|degree=pos
весьым	весь	ADJ	gender=masc|number=sing|case=ins|adj_form=full|degree=pos
весьом	весь	ADJ	gender=masc|number=sing|case=prep|adj_form=full|degree=pos
вся	весь	ADJ	gender=fem|number=sing|case=nom|adj_form=full|degree=pos
всой	весь	ADJ	gender=fem|number=sing|case=gen|adj_form=full|degree=pos
всю	весь	ADJ	gender=fem|number=sing|case=acc|adj_form=full|degree=pos
всё	весь	ADJ	gender=neut|number=sing|case=nom|adj_form=full|degree=pos
все	весь	ADJ	number=plur|case=nom|adj_form=full|degree=pos
всех	весь	ADJ	number=plur|case=gen|adj_form=full|degree=pos
весьым	весь	ADJ	number=plur|case=dat|adj_form=full|degree=pos
этот	этот	ADJ	gender=masc|number=sing|case=nom|adj_form=full|degree=pos
этого	этот	ADJ	gender=masc|number=sing|case=gen|adj_form=full|degree=pos
этотому	этот	ADJ	gender=masc|number=sing|case=dat|adj_form=full|degree=pos
этотым	этот	ADJ	gender=masc|number=sing|case=ins|adj_form=full|degree=pos
этотом	этот	ADJ	gender=masc|number=sing|case=prep|adj_form=full|degree=pos
эта	этот	ADJ	gender=fem|number=sing|case=nom|adj_form=full|degree=pos
этой	этот	ADJ	gender=fem|number=sing|case=gen|adj_form=full|degree=pos
эту	этот	ADJ	gender=fem|number=sing|case=acc|adj_form=full|degree=pos
это	этот	ADJ	gender=neut|number=sing|case=nom|adj_form=full|degree=pos
эти	этот	ADJ	number=plur|case=nom|adj_form=full|degree=pos
этих	этот	ADJ	number=plur|case=gen|adj_form=full|degree=pos
этотым	этот	ADJ	number=plur|case=dat|adj_form=full|degree=pos
мой	мой	ADJ	gender=masc|number=sing|case=nom|adj_form=full|degree=pos
моего	мой	ADJ	gender=masc|number=sing|case=gen|adj_form=full|degree=pos
мойому	мой	ADJ	gender=masc|number=sing|case=dat|adj_form=full|degree=pos
мойым	мой	ADJ	gender=masc|number=sing|case=ins|adj_form=full|degree=pos
мойом	мой	ADJ	gender=masc|number=sing|case=prep|adj_form=full|degree=pos
моя	мой	ADJ	gender=fem|number=sing|case=nom|adj_form=full|degree=pos
моой	мой	ADJ	gender=fem|number=sing|case=gen|adj_form=full|degree=pos
мою	мой	ADJ	gender=fem|number=sing|case=acc|adj_form=full|degree=pos
моё	мой	ADJ	gender=neut|number=sing|case=nom|adj_form=full|degree=pos
мои	мой	ADJ	number=plur|case=nom|adj_form=full|degree=pos
моих	мой	ADJ	number=plur|case=gen|adj_form=full|degree=pos
мойым	мой	ADJ	number=plur|case=dat|adj_form=full|degree=pos
твой	твой	ADJ	gender=masc|number=sing|case=nom|adj_form=full|degree=pos
твоего	твой	ADJ	gender=masc|number=sing|case=gen|adj_form=full|degree=pos
твойому	твой	ADJ	gender=masc|number=sing|case=dat|adj_form=full|degree=pos
твойым	твой	ADJ	gender=masc|number=sing|case=ins|adj_form=full|degree=pos
твойом	твой	ADJ	gender=masc|number=sing|case=prep|adj_form=full|degree=pos
твоя	твой	ADJ	gender=fem|number=sing|case=nom|adj_form=full|degree=pos
твоой	твой	ADJ	gender=fem|number=sing|case=gen|adj_form=full|degree=pos
твою	твой	ADJ	gender=fem|number=sing|case=acc|adj_form=full|degree=pos
твоё	твой	ADJ	gender=neut|number=sing|case=nom|adj_form=full|degree=pos
твои	твой	ADJ	number=plur|case=nom|adj_form=full|degree=pos
твоих	твой	ADJ	number=plur|case=gen|adj_form=full|degree=pos
твойым	твой	ADJ	number=plur|case=dat|adj_form=full|degree=pos
наш	наш	ADJ	gender=masc|number=sing|case=nom|adj_form=full|degree=pos
нашего	наш	ADJ	gender=masc|number=sing|case=gen|adj_form=full|degree=pos
нашому	наш	ADJ	gender=masc|number=sing|case=dat|adj_form=full|degree=pos
нашым	наш	ADJ	gender=masc|number=sing|case=ins|adj_form=full|degree=pos
нашом	наш	ADJ	gender=masc|number=sing|case=prep|adj_form=full|degree=pos
наша	наш	ADJ	gender=fem|number=sing|case=nom|adj_form=full|degree=pos
нашой	наш	ADJ	gender=fem|number=sing|case=gen|adj_form=full|degree=pos
нашу	наш	ADJ	gender=fem|number=sing|case=acc|adj_form=full|degree=pos
наше	наш	ADJ	gender=neut|number=sing|case=nom|adj_form=full|degree=pos
наши	наш	ADJ	number=plur|case=nom|adj_form=full|degree=pos
наших	наш	ADJ	number=plur|case=gen|adj_form=full|degree=pos
нашым	наш	ADJ	number=plur|case=dat|adj_form=full|degree=pos
ваш	ваш	ADJ	gender=masc|number=sing|case=nom|adj_form=full|degree=pos
вашего	ваш	ADJ	gender=masc|number=sing|case=gen|adj_form=full|degree=pos
вашому	ваш	ADJ	gender=masc|number=sing|case=dat|adj_form=full|degree=pos
вашым	ваш	ADJ	gender=masc|number=sing|case=ins|adj_form=full|degree=pos
вашом	ваш	ADJ	gender=masc|number=sing|case=prep|adj_form=full|degree=pos
ваша	ваш	ADJ	gender=fem|number=sing|case=nom|adj_form=full|degree=pos
вашой	ваш	ADJ	gender=fem|number=sing|case=gen|adj_form=full|degree=pos
вашу	ваш	ADJ	gender=fem|number=sing|case=acc|adj_form=full|degree=pos
ваше	ваш	ADJ	gender=neut|number=sing|case=nom|adj_form=full|degree=pos
ваши	ваш	ADJ	number=plur|case=nom|adj_form=full|degree=pos
ваших	ваш	ADJ	number=plur|case=gen|adj_form=full|degree=pos
вашым	ваш	ADJ	number=plur|case=dat|adj_form=full|degree=pos
дом	дом	NOUN	gender=masc|number=sing|case=nom|animacy=inan
дома	дом	NOUN	gender=masc|number=sing|case=gen|animacy=inan
дому	дом	NOUN	gender=masc|number=sing|case=dat|animacy=inan
дом	дом	NOUN	gender=masc|number=sing|case=acc|animacy=inan
домом	дом	NOUN	gender=masc|number=sing|case=ins|animacy=inan
доме	дом	NOUN	gender=masc|number=sing|case=prep|animacy=inan
дома	дом	NOUN	gender=masc|number=plur|case=nom|animacy=inan
домов	дом	NOUN	gender=masc|number=plur|case=gen|animacy=inan
стол	стол	NOUN	gender=masc|number=sing|case=nom|animacy=inan
стола	стол	NOUN	gender=masc|number=sing|case=gen|animacy=inan
столу	стол	NOUN	gender=masc|number=sing|case=dat|animacy=inan
стол	стол	NOUN	gender=masc|number=sing|case=acc|animacy=inan
столом	стол	NOUN	gender=masc|number=sing|case=ins|animacy=inan
столе	стол	NOUN	gender=masc|number=sing|case=prep|animacy=inan
столы	стол	NOUN	gender=masc|number=plur|case=nom|animacy=inan
столов	стол	NOUN	gender=masc|number=plur|case=gen|animacy=inan
город	город	NOUN	gender=masc|number=sing|case=nom|animacy=inan
города	город	NOUN	gender=masc|number=sing|case=gen|animacy=inan
городу	город	NOUN	gender=masc|number=sing|case=dat|animacy=inan
город	город	NOUN	gender=masc|number=sing|case=acc|animacy=inan
городом	город	NOUN	gender=masc|number=sing|case=ins|animacy=inan
городе	город	NOUN	gender=masc|number=sing|case=prep|animacy=inan
города	город	NOUN	gender=masc|number=plur|case=nom|animacy=inan
городов	город	NOUN	gender=masc|number=plur|case=gen|animacy=inan
проект	проект	NOUN	gender=masc|number=sing|case=nom|animacy=inan
проекта	проект	NOUN	gender=masc|number=sing|case=gen|animacy=inan
проекту	проект	NOUN	gender=masc|number=sing|case=dat|animacy=inan
проект	проект	NOUN	gender=masc|number=sing|case=acc|animacy=inan
проектом	проект	NOUN	gender=masc|number=sing|case=ins|animacy=inan
проекте	проект	NOUN	gender=masc|number=sing|case=prep|animacy=inan
проекты	проект	NOUN	gender=masc|number=plur|case=nom|animacy=inan
проектов	проект	NOUN	gender=masc|number=plur|case=gen|animacy=inan
приказ	приказ	NOUN	gender=masc|number=sing|case=nom|animacy=inan
приказа	приказ	NOUN	gender=masc|number=sing|case=gen|animacy=inan
приказу	приказ	NOUN	gender=masc|number=sing|case=dat|animacy=inan
приказ	приказ	NOUN	gender=masc|number=sing|case=acc|animacy=inan
приказом	приказ	NOUN	gender=masc|number=sing|case=ins|animacy=inan
приказе	приказ	NOUN	gender=masc|number=sing|case=prep|animacy=inan
приказы	приказ	NOUN	gender=masc|number=plur|case=nom|animacy=inan
приказов	приказ	NOUN	gender=masc|number=plur|case=gen|animacy=inan
ответ	ответ	NOUN	gender=masc|number=sing|case=nom|animacy=inan
ответа	ответ	NOUN	gender=masc|number=sing|case=gen|animacy=inan
ответу	ответ	NOUN	gender=masc|number=sing|case=dat|animacy=inan
ответ	ответ	NOUN	gender=masc|number=sing|case=acc|animacy=inan
ответом	ответ	NOUN	gender=masc|number=sing|case=ins|animacy=inan
ответе	ответ	NOUN	gender=masc|number=sing|case=prep|animacy=inan
ответы	ответ	NOUN	gender=masc|number=plur|case=nom|animacy=inan
ответов	ответ	NOUN	gender=masc|number=plur|case=gen|animacy=inan
анализатор	анализатор	NOUN	gender=masc|number=sing|case=nom|animacy=inan
анализатора	анализатор	NOUN	gender=masc|number=sing|case=gen|animacy=inan
анализатору	анализатор	NOUN	gender=masc|number=sing|case=dat|animacy=inan
анализатор	анализатор	NOUN	gender=masc|number=sing|case=acc|animacy=inan
анализатором	анализатор	NOUN	gender=masc|number=sing|case=ins|animacy=inan
анализаторе	анализатор	NOUN	gender=masc|number=sing|case=prep|animacy=inan
инструмент	инструмент	NOUN	gender=masc|number=sing|case=nom|animacy=inan
инструмента	инструмент	NOUN	gender=masc|number=sing|case=gen|animacy=inan
инструменту	инструмент	NOUN	gender=masc|number=sing|case=dat|animacy=inan
инструмент	инструмент	NOUN	gender=masc|number=sing|case=acc|animacy=inan
инструментом	инструмент	NOUN	gender=masc|number=sing|case=ins|animacy=inan
инструменте	инструмент	NOUN	gender=masc|number=sing|case=prep|animacy=inan
план	план	NOUN	gender=masc|number=sing|case=nom|animacy=inan
плана	план	NOUN	gender=masc|number=sing|case=gen|animacy=inan
плану	план	NOUN	gender=masc|number=sing|case=dat|animacy=inan
план	план	NOUN	gender=masc|number=sing|case=acc|animacy=inan
планом	план	NOUN	gender=masc|number=sing|case=ins|animacy=inan
плане	план	NOUN	gender=masc|number=sing|case=prep|animacy=inan
планы	план	NOUN	gender=masc|number=plur|case=nom|animacy=inan
планов	план	NOUN	gender=masc|number=plur|case=gen|animacy=inan
пункт	пункт	NOUN	gender=masc|number=sing|case=nom|animacy=inan
пункта	пункт	NOUN	gender=masc|number=sing|case=gen|animacy=inan
пункту	пункт	NOUN	gender=masc|number=sing|case=dat|animacy=inan
пункт	пункт	NOUN	gender=masc|number=sing|case=acc|animacy=inan
пунктом	пункт	NOUN	gender=masc|number=sing|case=ins|animacy=inan
пункте	пункт	NOUN	gender=masc|number=sing|case=prep|animacy=inan
документ	документ	NOUN	gender=masc|number=sing|case=nom|animacy=inan
документа	документ	NOUN	gender=masc|number=sing|case=gen|animacy=inan
документу	документ	NOUN	gender=masc|number=sing|case=dat|animacy=inan
документ	документ	NOUN	gender=masc|number=sing|case=acc|animacy=inan
документом	документ	NOUN	gender=masc|number=sing|case=ins|animacy=inan
документе	документ	NOUN	gender=masc|number=sing|case=prep|animacy=inan
доклад	доклад	NOUN	gender=masc|number=sing|case=nom|animacy=inan
доклада	доклад	NOUN	gender=masc|number=sing|case=gen|animacy=inan
докладу	доклад	NOUN	gender=masc|number=sing|case=dat|animacy=inan
доклад	доклад	NOUN	gender=masc|number=sing|case=acc|animacy=inan
докладом	доклад	NOUN	gender=masc|number=sing|case=ins|animacy=inan
докладе	доклад	NOUN	gender=masc|number=sing|case=prep|animacy=inan
вопрос	вопрос	NOUN	gender=masc|number=sing|case=nom|animacy=inan
вопроса	вопрос	NOUN	gender=masc|number=sing|case=gen|animacy=inan
вопросу	вопрос	NOUN	gender=masc|number=sing|case=dat|animacy=inan
вопрос	вопрос	NOUN	gender=masc|number=sing|case=acc|animacy=inan
вопросом	вопрос	NOUN	gender=masc|number=sing|case=ins|animacy=inan
вопросе	вопрос	NOUN	gender=masc|number=sing|case=prep|animacy=inan
модуль	модуль	NOUN	gender=masc|number=sing|case=nom|animacy=inan
модуля	модуль	NOUN	gender=masc|number=sing|case=gen|animacy=inan
модулю	модуль	NOUN	gender=masc|number=sing|case=dat|animacy=inan
модуль	модуль	NOUN	gender=masc|number=sing|case=acc|animacy=inan
модулем	модуль	NOUN	gender=masc|number=sing|case=ins|animacy=inan
модуле	модуль	NOUN	gender=masc|number=sing|case=prep|animacy=inan
стиль	стиль	NOUN	gender=masc|number=sing|case=nom|animacy=inan
стиля	стиль	NOUN	gender=masc|number=sing|case=gen|animacy=inan
стилю	стиль	NOUN	gender=masc|number=sing|case=dat|animacy=inan
стиль	стиль	NOUN	gender=masc|number=sing|case=acc|animacy=inan
стилем	стиль	NOUN	gender=masc|number=sing|case=ins|animacy=inan
стиле	стиль	NOUN	gender=masc|number=sing|case=prep|animacy=inan
парсер	парсер	NOUN	gender=masc|number=sing|case=nom|animacy=inan
парсера	парсер	NOUN	gender=masc|number=sing|case=gen|animacy=inan
парсеру	парсер	NOUN	gender=masc|number=sing|case=dat|animacy=inan
парсер	парсер	NOUN	gender=masc|number=sing|case=acc|animacy=inan
парсером	парсер	NOUN	gender=masc|number=sing|case=ins|animacy=inan
парсере	парсер	NOUN	gender=masc|number=sing|case=prep|animacy=inan
мост	мост	NOUN	gender=masc|number=sing|case=nom|animacy=inan
моста	мост	NOUN	gender=masc|number=sing|case=gen|animacy=inan
мосту	мост	NOUN	gender=masc|number=sing|case=dat|animacy=inan
мост	мост	NOUN	gender=masc|number=sing|case=acc|animacy=inan
мостом	мост	NOUN	gender=masc|number=sing|case=ins|animacy=inan
мосте	мост	NOUN	gender=masc|number=sing|case=prep|animacy=inan
мосты	мост	NOUN	gender=masc|number=plur|case=nom|animacy=inan
мостов	мост	NOUN	gender=masc|number=plur|case=gen|animacy=inan
завод	завод	NOUN	gender=masc|number=sing|case=nom|animacy=inan
завода	завод	NOUN	gender=masc|number=sing|case=gen|animacy=inan
заводу	завод	NOUN	gender=masc|number=sing|case=dat|animacy=inan
завод	завод	NOUN	gender=masc|number=sing|case=acc|animacy=inan
заводом	завод	NOUN	gender=masc|number=sing|case=ins|animacy=inan
заводе	завод	NOUN	gender=masc|number=sing|case=prep|animacy=inan
заводы	завод	NOUN	gender=masc|number=plur|case=nom|animacy=inan
заводов	завод	NOUN	gender=masc|number=plur|case=gen|animacy=inan
класс	класс	NOUN	gender=masc|number=sing|case=nom|animacy=inan
класса	класс	NOUN	gender=masc|number=sing|case=gen|animacy=inan
классу	класс	NOUN	gender=masc|number=sing|case=dat|animacy=inan
класс	класс	NOUN	gender=masc|number=sing|case=acc|animacy=inan
классом	класс	NOUN	gender=masc|number=sing|case=ins|animacy=inan
классе	класс	NOUN	gender=masc|number=sing|case=prep|animacy=inan
классы	класс	NOUN	gender=masc|number=plur|case=nom|animacy=inan
классов	класс	NOUN	gender=masc|number=plur|case=gen|animacy=inan
метод	метод	NOUN	gender=masc|number=sing|case=nom|animacy=inan
метода	метод	NOUN	gender=masc|number=sing|case=gen|animacy=inan
методу	метод	NOUN	gender=masc|number=sing|case=dat|animacy=inan
метод	метод	NOUN	gender=masc|number=sing|case=acc|animacy=inan
методом	метод	NOUN	gender=masc|number=sing|case=ins|animacy=inan
методе	метод	NOUN	gender=masc|number=sing|case=prep|animacy=inan
методы	метод	NOUN	gender=masc|number=plur|case=nom|animacy=inan
методов	метод	NOUN	gender=masc|number=plur|case=gen|animacy=inan
результат	результат	NOUN	gender=masc|number=sing|case=nom|animacy=inan
результата	результат	NOUN	gender=masc|number=sing|case=gen|animacy=inan
результату	результат	NOUN	gender=masc|number=sing|case=dat|animacy=inan
результат	результат	NOUN	gender=masc|number=sing|case=acc|animacy=inan
результатом	результат	NOUN	gender=masc|number=sing|case=ins|animacy=inan
результате	результат	NOUN	gender=masc|number=sing|case=prep|animacy=inan
факт	факт	NOUN	gender=masc|number=sing|case=nom|animacy=inan
факта	факт	NOUN	gender=masc|number=sing|case=gen|animacy=inan
факту	факт	NOUN	gender=masc|number=sing|case=dat|animacy=inan
факт	факт	NOUN	gender=masc|number=sing|case=acc|animacy=inan
фактом	факт	NOUN	gender=masc|number=sing|case=ins|animacy=inan
факте	факт	NOUN	gender=masc|number=sing|case=prep|animacy=inan
факты	факт	NOUN	gender=masc|number=plur|case=nom|animacy=inan
фактов	факт	NOUN	gender=masc|number=plur|case=gen|animacy=inan
мир	мир	NOUN	gender=masc|number=sing|case=nom|animacy=inan
мира	мир	NOUN	gender=masc|number=sing|case=gen|animacy=inan
миру	мир	NOUN	gender=masc|number=sing|case=dat|animacy=inan
мир	мир	NOUN	gender=masc|number=sing|case=acc|animacy=inan
миром	мир	NOUN	gender=masc|number=sing|case=ins|animacy=inan
мире	мир	NOUN	gender=masc|number=sing|case=prep|animacy=inan
миры	мир	NOUN	gender=masc|number=plur|case=nom|animacy=inan
миров	мир	NOUN	gender=masc|number=plur|case=gen|animacy=inan
текст	текст	NOUN	gender=masc|number=sing|case=nom|animacy=inan
текста	текст	NOUN	gender=masc|number=sing|case=gen|animacy=inan
тексту	текст	NOUN	gender=masc|number=sing|case=dat|animacy=inan
текст	текст	NOUN	gender=masc|number=sing|case=acc|animacy=inan
текстом	текст	NOUN	gender=masc|number=sing|case=ins|animacy=inan
тексте	текст	NOUN	gender=masc|number=sing|case=prep|animacy=inan
тексты	текст	NOUN	gender=masc|number=plur|case=nom|animacy=inan
текстов	текст	NOUN	gender=masc|number=plur|case=gen|animacy=inan
слово	слово	NOUN	gender=masc|number=sing|case=nom|animacy=inan
слова	слово	NOUN	gender=masc|number=sing|case=gen|animacy=inan
слову	слово	NOUN	gender=masc|number=sing|case=dat|animacy=inan
слово	слово	NOUN	gender=masc|number=sing|case=acc|animacy=inan
словом	слово	NOUN	gender=masc|number=sing|case=ins|animacy=inan
слове	слово	NOUN	gender=masc|number=sing|case=prep|animacy=inan
слова	слово	NOUN	gender=masc|number=plur|case=nom|animacy=inan
слов	слово	NOUN	gender=masc|number=plur|case=gen|animacy=inan
мальчик	мальчик	NOUN	gender=masc|number=sing|case=nom|animacy=anim
мальчика	мальчик	NOUN	gender=masc|number=sing|case=gen|animacy=anim
мальчику	мальчик	NOUN	gender=masc|number=sing|case=dat|animacy=anim
мальчика	мальчик	NOUN	gender=masc|number=sing|case=acc|animacy=anim
мальчиком	мальчик	NOUN	gender=masc|number=sing|case=ins|animacy=anim
мальчике	мальчик	NOUN	gender=masc|number=sing|case=prep|animacy=anim
мальчики	мальчик	NOUN	gender=masc|number=plur|case=nom|animacy=anim
мальчиков	мальчик	NOUN	gender=masc|number=plur|case=gen|animacy=anim
студент	студент	NOUN	gender=masc|number=sing|case=nom|animacy=anim
студента	студент	NOUN	gender=masc|number=sing|case=gen|animacy=anim
студенту	студент	NOUN	gender=masc|number=sing|case=dat|animacy=anim
студента	студент	NOUN	gender=masc|number=sing|case=acc|animacy=anim
студентом	студент	NOUN	gender=masc|number=sing|case=ins|animacy=anim
студенте	студент	NOUN	gender=masc|number=sing|case=prep|animacy=anim
студенты	студент	NOUN	gender=masc|number=plur|case=nom|animacy=anim
студентов	студент	NOUN	gender=masc|number=plur|case=gen|animacy=anim
учитель	учитель	NOUN	gender=masc|number=sing|case=nom|animacy=anim
учителя	учитель	NOUN	gender=masc|number=sing|case=gen|animacy=anim
учителю	учитель	NOUN	gender=masc|number=sing|case=dat|animacy=anim
учителя	учитель	NOUN	gender=masc|number=sing|case=acc|animacy=anim
учителем	учитель	NOUN	gender=masc|number=sing|case=ins|animacy=anim
учителе	учитель	NOUN	gender=masc|number=sing|case=prep|animacy=anim
учителя	учитель	NOUN	gender=masc|number=plur|case=nom|animacy=anim
учителей	учитель	NOUN	gender=masc|number=plur|case=gen|animacy=anim
мужчина	мужчина	NOUN	gender=masc|number=sing|case=nom|animacy=anim
мужчины	мужчина	NOUN	gender=masc|number=sing|case=gen|animacy=anim
